TIME,RATE,ERROR,FRACEXP
133089416.97426994,2040.0001,142.82858,0.99999994
133089417.07426994,2910.0002,170.58722,0.99999994
133089417.17426994,3290.0002,181.38358,0.99999994
133089417.27426994,3040.0002,174.35597,0.99999994
133089417.37426995,3350.0002,183.03006,0.99999994
133089417.47426994,2540.0002,159.37378,0.99999994
133089417.57426994,2420.0002,155.56349,0.99999994
133089417.67426994,2300.0002,151.65752,0.99999994
133089417.77426994,3180.0002,178.32555,0.99999994
133089417.87426995,2890.0002,170.00002,0.99999994
133089417.97426994,2560.0002,160.00002,0.99999994
133089418.07426994,3010.0002,173.49353,0.99999994
133089418.17426994,2550.0002,159.68721,0.99999994
133089418.27426994,2600.0002,161.24516,0.99999994
133089418.37426995,3110.0002,176.35194,0.99999994
133089418.47426994,2180.0002,147.64824,0.99999994
133089418.57426994,2750.0002,165.83125,0.99999994
133089418.67426994,3460.0002,186.01077,0.99999994
133089418.77426994,2440.0002,156.205,0.99999994
133089418.87426995,3180.0002,178.32555,0.99999994
133089418.97426994,2950.0002,171.75565,0.99999994
133089419.07426994,2510.0002,158.42981,0.99999994
133089419.17426994,2390.0002,154.59627,0.99999994
133089419.27426994,3620.0002,190.263,0.99999994
133089419.37426995,2430.0002,155.88458,0.99999994
133089419.47426994,2650.0002,162.78821,0.99999994
133089419.57426994,2670.0002,163.40137,0.99999994
133089419.67426994,1930.0001,138.92444,0.99999994
133089419.77426994,2080.0002,144.22206,0.99999994
133089419.87426995,2390.0002,154.59627,0.99999994
133089419.97426994,2830.0002,168.22604,0.99999994
133089420.07426994,3230.0002,179.72202,0.99999994
133089420.17426994,2550.0002,159.68721,0.99999994
133089420.27426994,2830.0002,168.22604,0.99999994
133089420.37426995,2120.0002,145.6022,0.99999994
133089420.47426994,2540.0002,159.37378,0.99999994
133089420.57426994,3620.0002,190.263,0.99999994
133089420.67426994,3550.0002,188.41444,0.99999994
133089420.77426994,2640.0002,162.48079,0.99999994
