time,band1,band2,band3,band4,band5
0.0,8229.0,7901.0,1706.0,1090.0,410.0
1.0,7635.0,7640.0,1709.0,1075.0,378.0
2.0,7626.0,7264.0,1575.0,987.0,363.0
3.0,8332.0,8338.0,1775.0,1073.0,390.0
4.0,8039.0,7744.0,1604.0,1085.0,372.0
5.0,8014.0,7356.0,1573.0,964.0,321.0
6.0,7735.0,7021.0,1456.0,977.0,334.0
7.0,7130.0,6441.0,1338.0,880.0,307.0
8.0,7546.0,7014.0,1460.0,980.0,309.0
9.0,7526.0,6392.0,1334.0,825.0,306.0
10.0,5539.0,4720.0,892.0,698.0,234.0
11.0,7118.0,6159.0,1277.0,819.0,292.0
12.0,7497.0,6688.0,1359.0,910.0,332.0
13.0,6373.0,5478.0,1040.0,743.0,258.0
14.0,6660.0,5597.0,1189.0,778.0,227.0
15.0,7500.0,6499.0,1328.0,837.0,300.0
16.0,9264.0,8251.0,1702.0,1107.0,366.0
17.0,9456.0,8731.0,1722.0,1103.0,396.0
18.0,10305.0,9324.0,1953.0,1247.0,441.0
19.0,11139.0,10980.0,2410.0,1691.0,638.0
20.0,7798.0,8067.0,1834.0,1210.0,447.0
21.0,6959.0,7223.0,1712.0,1105.0,403.0
22.0,5312.0,4933.0,1039.0,719.0,236.0
23.0,6382.0,6225.0,1242.0,854.0,310.0
24.0,7708.0,8030.0,1711.0,1251.0,430.0
25.0,8787.0,9233.0,2003.0,1287.0,437.0
26.0,9135.0,9340.0,2103.0,1370.0,470.0
27.0,9716.0,9650.0,1914.0,1201.0,372.0
28.0,9541.0,9409.0,2073.0,1345.0,478.0
29.0,9078.0,8556.0,1767.0,1130.0,372.0
30.0,9274.0,9181.0,1943.0,1332.0,420.0
31.0,9312.0,9115.0,2021.0,1271.0,465.0
32.0,10646.0,10373.0,2222.0,1413.0,468.0
33.0,9239.0,9495.0,2097.0,1375.0,463.0
34.0,10056.0,10543.0,2337.0,1546.0,541.0
35.0,11031.0,11773.0,2586.0,1734.0,612.0
36.0,11177.0,11759.0,2721.0,1838.0,630.0
37.0,10353.0,11026.0,2366.0,1605.0,554.0
38.0,10897.0,11317.0,2480.0,1627.0,589.0
39.0,13433.0,15358.0,3425.0,2325.0,857.0
40.0,10113.0,10335.0,2271.0,1563.0,540.0
41.0,8792.0,8800.0,1848.0,1290.0,447.0
42.0,6515.0,5954.0,1303.0,817.0,274.0
43.0,5982.0,4923.0,1012.0,656.0,263.0
44.0,8889.0,8610.0,1827.0,1204.0,408.0
45.0,9963.0,9688.0,2072.0,1428.0,502.0
46.0,7717.0,7807.0,1750.0,1145.0,431.0
47.0,7410.0,7385.0,1533.0,1038.0,346.0
48.0,8659.0,9100.0,2021.0,1269.0,486.0
49.0,12343.0,13509.0,3070.0,1993.0,712.0
50.0,10472.0,11631.0,2675.0,1855.0,637.0
51.0,8661.0,9283.0,2172.0,1384.0,527.0
52.0,6434.0,6613.0,1529.0,1008.0,360.0
53.0,7677.0,7798.0,1760.0,1165.0,411.0
54.0,7493.0,7527.0,1607.0,1128.0,398.0
55.0,7059.0,6791.0,1411.0,853.0,299.0
56.0,9262.0,8816.0,1680.0,1077.0,348.0
57.0,8543.0,7671.0,1538.0,1000.0,399.0
58.0,8625.0,7547.0,1526.0,999.0,326.0
59.0,8799.0,7447.0,1539.0,975.0,317.0
60.0,6897.0,5533.0,1122.0,800.0,270.0
61.0,8043.0,7399.0,1418.0,930.0,307.0
62.0,7649.0,6119.0,1245.0,826.0,262.0
63.0,7472.0,6378.0,1332.0,871.0,271.0
64.0,7159.0,5763.0,1188.0,799.0,315.0
65.0,6785.0,5919.0,1185.0,793.0,296.0
66.0,6129.0,5185.0,1057.0,725.0,238.0
67.0,5127.0,3945.0,828.0,562.0,190.0
68.0,7943.0,6401.0,1266.0,776.0,271.0
69.0,7836.0,6297.0,1221.0,758.0,276.0
70.0,7671.0,6417.0,1295.0,859.0,306.0
71.0,8040.0,7101.0,1439.0,917.0,347.0
72.0,6859.0,5494.0,1026.0,616.0,215.0
73.0,7183.0,5920.0,1148.0,790.0,283.0
74.0,7175.0,5819.0,1106.0,774.0,251.0
75.0,10506.0,9358.0,1968.0,1334.0,452.0
76.0,10599.0,10833.0,2370.0,1517.0,586.0
77.0,6984.0,6532.0,1349.0,931.0,325.0
78.0,7243.0,6783.0,1449.0,957.0,318.0
79.0,6999.0,6883.0,1462.0,931.0,321.0
80.0,9205.0,8988.0,2025.0,1211.0,438.0
81.0,6547.0,6523.0,1391.0,982.0,325.0
82.0,6214.0,6103.0,1431.0,949.0,339.0
83.0,7386.0,7443.0,1697.0,1092.0,381.0
84.0,7421.0,7280.0,1621.0,1015.0,378.0
85.0,8758.0,9155.0,2090.0,1316.0,458.0
86.0,8967.0,8868.0,1865.0,1177.0,447.0
87.0,12382.0,13679.0,2963.0,1989.0,662.0
88.0,10694.0,11272.0,2619.0,1796.0,630.0
89.0,8279.0,8621.0,1966.0,1304.0,450.0
90.0,5374.0,4852.0,1002.0,684.0,288.0
91.0,5908.0,5358.0,1153.0,788.0,282.0
92.0,6348.0,5722.0,1232.0,760.0,281.0
93.0,7053.0,6640.0,1470.0,961.0,359.0
94.0,9346.0,9201.0,1987.0,1237.0,428.0
95.0,9478.0,8854.0,1737.0,1154.0,390.0
96.0,9977.0,9462.0,2041.0,1369.0,478.0
97.0,7713.0,7938.0,1893.0,1254.0,433.0
98.0,8339.0,8894.0,2115.0,1492.0,528.0
99.0,7009.0,7329.0,1727.0,1157.0,390.0
100.0,7820.0,8283.0,1926.0,1231.0,455.0
101.0,8612.0,9357.0,2153.0,1503.0,452.0
102.0,7899.0,8066.0,1980.0,1312.0,498.0
103.0,7702.0,7639.0,1716.0,1136.0,365.0
104.0,9611.0,9642.0,2094.0,1368.0,469.0
105.0,9976.0,10406.0,2276.0,1533.0,488.0
106.0,9317.0,9829.0,2142.0,1486.0,471.0
107.0,10706.0,11535.0,2577.0,1682.0,624.0
108.0,9981.0,10731.0,2443.0,1656.0,553.0
109.0,12989.0,13907.0,3225.0,2177.0,694.0
110.0,13042.0,14561.0,3327.0,2115.0,709.0
111.0,12159.0,13554.0,3144.0,2050.0,706.0
112.0,9943.0,10720.0,2398.0,1655.0,599.0
113.0,5826.0,5834.0,1228.0,826.0,282.0
114.0,5313.0,4887.0,1067.0,727.0,274.0
115.0,4729.0,3901.0,883.0,579.0,206.0
116.0,5722.0,4935.0,1003.0,680.0,197.0
117.0,6451.0,5806.0,1178.0,780.0,263.0
118.0,5617.0,4890.0,1096.0,689.0,281.0
119.0,6230.0,5868.0,1285.0,826.0,324.0
120.0,6548.0,5669.0,1137.0,715.0,263.0
121.0,6664.0,5570.0,1127.0,676.0,247.0
122.0,7171.0,5810.0,1111.0,725.0,254.0
123.0,7855.0,6521.0,1349.0,876.0,272.0
124.0,8436.0,7242.0,1400.0,929.0,299.0
125.0,7930.0,6530.0,1241.0,778.0,280.0
126.0,8750.0,7448.0,1456.0,909.0,331.0
127.0,7621.0,6482.0,1309.0,882.0,349.0
