time,band1,band2,band3,band4,band5
0.0,7320.0005,7140.0005,1160.0001,870.00006,310.00003
0.1,8180.0005,7260.0005,1780.0001,1130.0001,310.00003
0.2,9530.001,9200.001,2140.0002,1160.0001,370.00003
0.3,9590.001,8720.001,1790.0001,1260.0001,460.00003
0.4,9750.001,9510.001,1950.0001,1400.0001,410.00003
0.5,7600.0005,6860.0005,1500.0001,1040.0001,400.00003
0.6,7370.0005,6890.0005,1550.0001,870.00006,390.00003
0.7,6930.0005,6780.0005,1440.0001,860.00006,420.00003
0.8,8070.0005,8590.001,1970.0001,1200.0001,510.00003
0.9,7830.0005,8090.0005,1750.0001,1130.0001,510.00003
1.0,7730.0005,7180.0005,1530.0001,1030.0001,280.00003
1.1,8390.001,7900.0005,1910.0001,1100.0001,510.00003
1.2,7280.0005,7340.0005,1580.0001,970.00006,300.00003
1.3,7370.0005,7610.0005,1530.0001,1050.0001,300.00003
1.4,7340.0005,7900.0005,1980.0001,1130.0001,430.00003
1.5,6970.0005,6270.0005,1330.0001,850.00006,330.00003
1.6,7560.0005,7270.0005,1670.0001,1090.0001,320.00003
1.7,8630.001,9980.001,2130.0002,1330.0001,450.00003
1.8,7660.0005,7050.0005,1500.0001,940.00006,450.00003
1.9,7470.0005,7890.0005,1910.0001,1260.0001,410.00003
2.0,7740.0005,7920.0005,1730.0001,1220.0001,450.00003
2.1,7470.0005,7390.0005,1520.0001,990.00006,350.00003
2.2,7780.0005,7110.0005,1440.0001,930.00006,290.00003
2.3,9010.001,9050.001,2140.0002,1490.0001,440.00003
2.4,7890.0005,7130.0005,1590.0001,840.00006,240.00002
2.5,8120.0005,7560.0005,1740.0001,910.00006,390.00003
2.6,7880.0005,7110.0005,1740.0001,940.00006,330.00003
2.7,6460.0005,6550.0005,1340.0001,590.00006,350.00003
2.8,6680.0005,6390.0005,1180.0001,900.00006,400.00003
2.9,7120.0005,6470.0005,1320.0001,1070.0001,390.00003
3.0,8180.0005,7890.0005,1730.0001,1100.0001,430.00003
3.1,9140.001,10000.001,2120.0002,1100.0001,390.00003
3.2,7990.0005,7440.0005,1440.0001,1120.0001,350.00003
3.3,7190.0005,7960.0005,1940.0001,890.00006,370.00003
3.4,7530.0005,7420.0005,1350.0001,760.00006,330.00003
3.5,8260.001,8040.0005,1550.0001,990.00006,350.00003
3.6,9350.001,9370.001,2290.0002,1330.0001,520.00006
3.7,9600.001,10110.001,2190.0002,1360.0001,490.00003
3.8,8230.001,7770.0005,1570.0001,1070.0001,350.00003
3.9,7750.0005,7440.0005,1560.0001,1010.00006,320.00003
4.0,6780.0005,7220.0005,1260.0001,870.00006,350.00003
4.1,8890.001,9010.001,1870.0001,1230.0001,480.00003
4.2,10640.001,9230.001,2140.0002,1470.0001,440.00003
4.3,10730.001,11250.001,2230.0002,1570.0001,530.00006
4.4,8200.001,8510.001,1580.0001,1230.0001,360.00003
4.5,6550.0005,6370.0005,1310.0001,650.00006,310.00003
4.6,7180.0005,6950.0005,1490.0001,1020.00006,430.00003
4.7,7220.0005,6240.0005,1270.0001,1080.0001,310.00003
4.8,7210.0005,5790.0005,1280.0001,880.00006,300.00003
4.9,6990.0005,6900.0005,1600.0001,830.00006,220.00002
5.0,7000.0005,6490.0005,1520.0001,590.00006,370.00003
5.1,8290.001,7710.0005,1970.0001,1020.00006,290.00003
5.2,8180.0005,8090.0005,1720.0001,1150.0001,470.00003
5.3,7000.0005,6710.0005,1230.0001,830.00006,320.00003
5.4,7630.0005,7010.0005,1440.0001,1100.0001,230.00002
5.5,9060.001,7760.0005,1670.0001,1030.0001,250.00002
5.6,8420.001,7430.0005,1760.0001,1020.00006,330.00003
5.7,8570.001,7350.0005,1580.0001,830.00006,340.00003
5.8,7080.0005,6030.0005,1120.0001,710.00006,240.00002
5.9,8970.001,8940.001,1750.0001,1360.0001,360.00003
6.0,11030.001,12050.001,2490.0002,1570.0001,550.00006
6.1,11190.001,10830.001,2330.0002,1660.0001,500.00003
6.2,8130.0005,7440.0005,1690.0001,1050.0001,450.00003
6.3,6000.0005,4630.0005,1020.00006,720.00006,230.00002
6.4,5660.0005,4530.0005,790.00006,740.00006,190.00002
6.5,5930.0005,4390.0005,1030.0001,610.00006,290.00003
6.6,5620.0005,5170.0005,1010.00006,760.00006,260.00003
6.7,6870.0005,5680.0005,1100.0001,750.00006,210.00002
6.8,8690.001,8650.001,1670.0001,1070.0001,420.00003
6.9,8230.001,6860.0005,1400.0001,850.00006,240.00002
7.0,7170.0005,6530.0005,1160.0001,860.00006,340.00003
7.1,6750.0005,5240.0005,1320.0001,880.00006,210.00002
7.2,5560.0005,4500.0005,820.00006,650.00006,210.00002
7.3,6700.0005,5960.0005,1240.0001,770.00006,270.00003
7.4,6130.0005,5270.0005,1140.0001,710.00006,240.00002
7.5,6390.0005,5770.0005,1060.0001,710.00006,250.00002
7.6,8650.001,9110.001,1700.0001,1110.0001,520.00006
7.7,7520.0005,6900.0005,1520.0001,1020.00006,300.00003
7.8,8950.001,8650.001,2170.0002,1300.0001,460.00003
7.9,7490.0005,6480.0005,1240.0001,790.00006,280.00003
8.0,7190.0005,6610.0005,1490.0001,920.00006,270.00003
8.1,6970.0005,6720.0005,1280.0001,920.00006,280.00003
8.2,8740.001,6990.0005,1420.0001,850.00006,330.00003
8.3,8020.0005,8950.001,1720.0001,1230.0001,380.00003
8.4,8200.001,8200.001,1530.0001,890.00006,340.00003
8.5,8360.001,7570.0005,1600.0001,1040.0001,250.00002
8.6,7610.0005,6330.0005,1370.0001,1020.00006,390.00003
8.7,5740.0005,4820.0005,1090.0001,640.00006,230.00002
8.8,7250.0005,6870.0005,1660.0001,1200.0001,330.00003
8.9,7300.0005,7130.0005,1440.0001,1080.0001,290.00003
9.0,7620.0005,6490.0005,1340.0001,710.00006,230.00002
9.1,7520.0005,6390.0005,1270.0001,920.00006,200.00002
9.2,6650.0005,5400.0005,1120.0001,620.00006,220.00002
9.3,6890.0005,5960.0005,1450.0001,720.00006,350.00003
9.4,7940.0005,6710.0005,1280.0001,720.00006,340.00003
9.5,7470.0005,6410.0005,1330.0001,740.00006,310.00003
9.6,8320.001,6490.0005,1530.0001,910.00006,400.00003
9.7,8240.001,6900.0005,1450.0001,1120.0001,330.00003
9.8,7180.0005,6000.0005,1080.0001,690.00006,280.00003
9.9,7460.0005,7170.0005,1520.0001,1090.0001,390.00003
10.0,6870.0005,5710.0005,1040.0001,840.00006,270.00003
10.1,5660.0005,5190.0005,760.00006,630.00006,190.00002
10.2,5420.0005,4360.0005,890.00006,690.00006,260.00003
10.3,4100.0005,2980.0002,750.00006,440.00003,220.00002
10.4,5040.0005,3870.0002,770.00006,510.00003,250.00002
10.5,5510.0005,5540.0005,870.00006,850.00006,230.00002
10.6,6420.0005,5810.0005,1120.0001,970.00006,330.00003
