TIME,PI
50111.50836509466,76
50111.508411213756,143
50111.508474841714,130
50111.508497297764,117
50111.50849810243,41
50111.508528128266,58
50111.508576884866,222
50111.50857755542,60
50111.50898832083,108
50111.5090893358,453
50111.50918187201,142
50111.50918772817,75
50111.50920173526,51
50111.50925017893,55
50111.50929658115,144
50111.50944946706,78
50111.50951446593,498
50111.50952300429,222
50111.50954551995,99
50111.509634524584,50
50111.509949579835,75
50111.509964093566,42
50111.51005299389,100
50111.51007193327,140
50111.510145410895,128
50111.51020728052,70
50111.510227784514,47
50111.51058855653,59
50111.51064406335,149
50111.510699510574,146
50111.51071242988,142
50111.510885193944,70
50111.51096098125,884
50111.51097634435,67
50111.51102863252,75
50111.511032640934,98
50111.51106323302,184
50111.511174842715,43
50111.51121468842,177
50111.511238232255,139
50111.5113466382,86
50111.51135919988,87
50111.51136705279,112
50111.51146772504,56
50111.51152166724,52
50111.51153123379,100
50111.511569827795,46
50111.51159732044,166
50111.51189368963,174
50111.511947751045,80
50111.51204197109,90
50111.512066572905,43
50111.51207713783,56
50111.512119442225,111
50111.51223564148,96
50111.512378022075,172
50111.512493118644,70
50111.51261663437,34
50111.51269236207,82
50111.51272761822,53
50111.512773141265,88
50111.51287741959,69
50111.51289202273,84
50111.51295252144,55
50111.512967154384,80
50111.512970268726,194
50111.51299072802,118
50111.51303178072,180
50111.513119742274,61
50111.51317021251,191
50111.51318112016,43
50111.513318657875,47
50111.51332683861,60
50111.51337598264,179
50111.51341857016,59
50111.5134383589,61
50111.51362323761,84
50111.51362474263,137
50111.51374487579,79
50111.51379182935,68
50111.51397626102,97
50111.51399926841,75
50111.514045864344,95
50111.514072060585,150
50111.51426717639,62
50111.51434344053,77
50111.51457875967,66
50111.514698028564,130
50111.51470071077,82
50111.51473158598,71
50111.51506522298,186
50111.515075445175,97
50111.51511147618,53
50111.51514725387,65
50111.51532141864,241
50111.515335306525,156
50111.51537942886,89
50111.51538321376,61
50111.5153837502,330
50111.51555375755,136
50111.51566590369,80
50111.51572741568,119
50111.515755325556,82
50111.51576845348,284
50111.5159201771,102
50111.51599137485,81
50111.516140550375,208
50111.516259238124,73
50111.51629316807,113
50111.51639564335,80
50111.51642712951,79
50111.516509607434,126
50111.516578793526,217
50111.51665134728,195
50111.51665247977,575
50111.51674260199,98
50111.51678235829,114
50111.51678754389,136
50111.51687219739,280
50111.516886517406,145
50111.5170904696,489
50111.51723781228,63
50111.517318189144,144
50111.51752565801,113
50111.51753620803,41
50111.517713055015,47
50111.51797121763,46
50111.51799939573,171
50111.51814273,257
50111.51819041371,63
50111.51824629307,74
50111.51829320192,107
50111.51835735142,197
50111.51839135587,186
50111.51852218807,52
50111.51852403581,123
50111.518769174814,189
50111.51885062456,39
50111.51895496249,133
50111.51910370588,61
50111.51924902201,77
50111.5193336457,246
50111.519377321005,87
50111.519468382,92
50111.51959644258,128
50111.51967945695,96
50111.51987704635,91
50111.52004301548,160
50111.52012513578,183
50111.520470142365,83
50111.52052901685,128
50111.52053682506,66
50111.520646840334,178
50111.52078084648,117
50111.52082876861,91
50111.52085980773,87
50111.52093401551,98
50111.52095378935,104
50111.52097123861,176
50111.52100934088,39
50111.521038264036,333
50111.52117857337,59
50111.5212624073,114
50111.52138270438,84
50111.521400272846,168
50111.521486222744,52
50111.52162927389,93
50111.5216883868,34
50111.52177236974,56
50111.52191159129,149
50111.52198758721,139
50111.52215778828,44
50111.52244269848,68
50111.5224789083,217
50111.52250301838,161
50111.52258454263,85
50111.522611007094,147
50111.52277395129,156
50111.52293871343,199
50111.523014232516,75
50111.52310992777,160
50111.52324509621,133
50111.52325181663,34
50111.52328848839,166
50111.523317307234,66
50111.52347135544,53
50111.52348482609,65
50111.523564592004,109
50111.52362884581,56
50111.52367974818,183
50111.52375598252,123
50111.52396802604,600
50111.52397879958,105
50111.5240547657,191
50111.52407296002,109
50111.5240971148,56
50111.524236664176,59
50111.52434167266,171
50111.524346500635,951
50111.52438488603,131
50111.524559780955,163
50111.524598389864,431
50111.5247374624,112
50111.524749577045,111
50111.52487704158,40
50111.524904191494,103
50111.52491080761,108
50111.52493327856,100
50111.524954900146,59
50111.524995580316,109
50111.525027781725,188
50111.525075390935,200
50111.52510911226,93
50111.52516442537,165
50111.52520497143,98
50111.52531886101,44
50111.52541090548,249
50111.52554409206,39
50111.525674685836,110
50111.52569678426,80
50111.525711253285,52
50111.525800064206,65
50111.525927469134,416
50111.525956213474,117
50111.525995105505,80
50111.52602010965,119
50111.526032701135,51
50111.52613885701,528
50111.52618330717,56
50111.52623176575,61
50111.5262657702,307
50111.52635510266,69
50111.52638962865,138
50111.52643400431,112
50111.52648770809,83
50111.52651117742,331
50111.52661162615,129
50111.52668841183,94
50111.52674213052,76
50111.52682386339,49
50111.52682591975,74
50111.526898264885,80
50111.526991307735,63
50111.527034178376,109
50111.5270537138,61
50111.5273065269,100
50111.527379214764,128
50111.527479827404,115
50111.52754586935,274
50111.52754706144,144
50111.52757719159,45
50111.527624219656,498
50111.52770039439,108
50111.52776892483,80
50111.52778311074,96
50111.527878284454,71
50111.52802999318,83
50111.52809214592,118
50111.52815079689,85
50111.52816495299,65
50111.5281868577,47
50111.528201028705,55
50111.52821469307,118
50111.52821725607,309
50111.528308302164,118
50111.528368771076,183
50111.52852752805,67
50111.52869555354,78
50111.52879206836,81
50111.528890118,71
50111.529141142964,118
50111.52938751876,534
50111.52949735522,43
50111.5295317322,111
50111.52969895303,91
50111.52971513569,45
50111.529786899686,85
50111.52991080284,86
50111.529960885644,63
50111.529970511794,66
50111.529990017414,100
50111.5300334692,145
50111.53005827963,195
50111.53020116687,434
50111.530262991786,163
50111.53047797084,55
50111.530524879694,52
50111.53055667877,100
50111.53065264225,103
50111.530695557594,180
50111.530754223466,211
50111.5307739526,146
50111.53087490797,86
50111.530979305506,125
50111.53104838729,131
50111.531057074666,298
50111.53112897277,172
50111.5311447531,78
50111.531241714954,49
50111.531333491206,102
50111.53139813244,63
50111.53145106137,126
50111.53180043399,72
50111.53180579841,268
50111.531901180744,100
50111.53192986548,352
50111.53200685978,39
50111.53217121959,45
50111.53218407929,50
50111.53241509199,619
50111.5324164629,75
50111.532462090254,199
50111.5326295495,48
50111.53266893327,62
50111.53276772797,41
50111.5327873528,125
50111.53289821744,141
50111.533120557666,134
50111.53315080702,49
50111.53334286809,126
50111.533384501934,36
50111.53340277076,81
50111.533491805196,306
