TIME,PI
50105.52151300013,46
50105.52163083851,154
50105.52168570459,38
50105.52179415524,316
50105.52181343734,149
50105.52183370292,45
50105.52185751498,106
50105.52187149227,114
50105.52192787826,39
50105.521995812654,144
50105.522091537714,97
50105.522139281034,149
50105.5221978277,118
50105.52221994102,167
50105.52228538692,82
50105.522289425135,207
50105.52232569456,190
50105.5223300308,111
50105.5223929137,132
50105.522398650646,309
50105.52254329622,78
50105.52254715562,213
50105.52263216674,68
50105.522695451975,47
50105.52286632359,349
50105.52293501794,67
50105.5229780525,79
50105.52299660444,171
50105.523032948375,58
50105.523042321205,111
50105.523070305586,402
50105.523075938225,166
50105.52311971784,412
50105.52314439416,117
50105.5231756717,132
50105.523189648986,67
50105.52319394052,166
50105.52321329713,90
50105.523226588964,85
50105.52325348556,62
50105.52328328788,121
50105.52343034744,76
50105.52352297306,82
50105.52355706692,532
50105.52364087105,63
50105.523676902056,46
50105.52371869981,319
50105.52384531498,123
50105.52396059036,155
50105.524002581835,188
50105.524006679654,64
50105.524087414145,92
50105.524110645056,85
50105.52412742376,78
50105.52415135503,146
50105.52416713536,47
50105.52418360114,56
50105.52419541776,209
50105.524203270674,173
50105.5242254138,54
50105.52424694598,255
50105.52424937487,137
50105.52431932092,147
50105.524488925934,104
50105.5245000124,62
50105.524516388774,99
50105.52451762557,165
50105.5245449543,88
50105.52454863489,139
50105.52458167076,121
50105.52461473644,220
50105.52468961477,145
50105.524779736996,33
50105.5247990042,53
50105.52487140894,80
50105.524938091636,61
50105.52503691614,242
50105.525104254484,53
50105.52521315217,80
50105.525245413184,118
50105.52528189123,138
50105.52528718114,183
50105.525290206075,335
50105.52530890703,58
50105.525362312794,208
50105.525367841125,36
50105.525374531746,218
50105.525467187166,193
50105.52549313009,196
50105.52555565536,181
50105.525648370385,255
50105.52569878101,117
50105.52573081851,124
50105.525741651654,255
50105.525776550174,89
50105.52579011023,82
50105.52587649226,171
50105.52603060007,81
50105.52603648603,136
50105.526042968035,567
50105.526056692004,105
50105.52615863085,139
50105.5261850059,78
50105.526257798076,61
50105.52625982463,46
50105.526282414794,63
50105.52637684345,65
50105.526400998235,50
50105.526422187686,280
50105.52652154863,287
50105.526580795646,68
50105.526638418436,66
50105.526662305,91
50105.52669098973,331
50105.526827037334,132
50105.5268381536,66
50105.52689354122,85
50105.52693338692,29
50105.52702817321,118
50105.52707776427,204
50105.52709437907,69
50105.527136445045,131
50105.52748839557,424
50105.52751764655,162
50105.52757193148,115
50105.52758356929,123
50105.527612790465,101
50105.52775414288,188
50105.52779592574,63
50105.52783434093,227
50105.52784232795,46
50105.52789451182,168
50105.527912929654,74
50105.52795547247,87
50105.52801467478,83
50105.528044611216,97
50105.52809262276,207
50105.52819018066,133
50105.52824436128,593
50105.52825476229,192
50105.52831509709,80
50105.528325632215,72
50105.528335273266,214
50105.52839933336,206
50105.528474479914,293
50105.52849037945,172
50105.528495550156,186
50105.52853217721,89
50105.528540462255,98
50105.52857220173,47
50105.528574734926,55
50105.52860108018,91
50105.528663918376,150
50105.528813034296,152
50105.52881501615,158
50105.52886413038,72
50105.528865888715,137
50105.528987020254,68
50105.52904006839,318
50105.52906776965,108
50105.52907438576,189
50105.52907657623,112
50105.52907679975,461
50105.529147684574,52
50105.52919895947,29
50105.52923665941,337
50105.529258430004,209
50105.529298990965,181
50105.5293328315,77
50105.52934129536,69
50105.52945680916,172
50105.52946704626,241
50105.529554888606,85
50105.529579654336,306
50105.52958250046,65
50105.529656514525,89
50105.5296792686,56
50105.52994012833,232
50105.53022159636,55
50105.53027352691,103
50105.53031505644,35
50105.53037317097,65
50105.530427098274,88
50105.53050914407,64
50105.53077234328,387
50105.530835300684,130
50105.53098769486,61
50105.531086966395,121
50105.531094715,145
50105.5311037004,159
50105.531146764755,149
50105.53119428456,102
50105.53130659461,86
50105.531410336494,178
50105.53145073354,538
50105.531486094,348
50105.53151585162,31
50105.53155724704,87
50105.53156071901,81
50105.53156942129,43
50105.53161880374,439
50105.53170414269,181
50105.531961649656,37
50105.53197899461,52
50105.532053887844,36
50105.53208771348,39
50105.53209337592,107
50105.532203793526,82
50105.53222703934,64
