TIME,lc1,lc2,lc3,lc4,lc5
0.0,7500.0005,7120.0005,1170.0001,880.00006,310.00003
0.099999994,8340.001,7260.0005,1790.0001,1130.0001,310.00003
0.2,9790.001,9200.001,2130.0002,1190.0001,370.00003
0.3,9850.001,8720.001,1790.0001,1290.0001,470.00003
0.4,9980.001,9510.001,1950.0001,1430.0001,410.00003
0.5,7800.0005,6850.0005,1500.0001,1040.0001,400.00003
0.6,7570.0005,6890.0005,1550.0001,890.00006,390.00003
0.7,7060.0005,6780.0005,1440.0001,860.00006,420.00003
0.8,8210.001,8590.001,1980.0001,1200.0001,510.00003
0.9,7970.0005,8090.0005,1760.0001,1130.0001,510.00003
1.0,7840.0005,7180.0005,1530.0001,1030.0001,280.00003
1.1,8550.001,7900.0005,1910.0001,1100.0001,510.00003
1.2,7460.0005,7350.0005,1580.0001,970.00006,300.00003
1.3,7460.0005,7590.0005,1550.0001,1060.0001,300.00003
1.4,7450.0005,7900.0005,1980.0001,1140.0001,430.00003
1.5,7070.0005,6260.0005,1330.0001,870.00006,330.00003
1.6,7670.0005,7290.0005,1660.0001,1090.0001,320.00003
1.7,8780.001,10000.001,2130.0002,1330.0001,450.00003
1.8,7830.0005,7060.0005,1500.0001,960.00006,450.00003
1.9,7610.0005,7870.0005,1920.0001,1270.0001,410.00003
2.0,7920.0005,7900.0005,1730.0001,1240.0001,450.00003
2.1,7640.0005,7400.0005,1520.0001,990.00006,350.00003
2.2,7950.0005,7090.0005,1460.0001,930.00006,290.00003
2.3,9270.001,9040.001,2130.0002,1490.0001,440.00003
2.4,8030.0005,7130.0005,1590.0001,850.00006,240.00002
2.5,8220.001,7560.0005,1740.0001,940.00006,390.00003
2.6,8010.0005,7120.0005,1730.0001,960.00006,330.00003
2.7,6600.0005,6540.0005,1340.0001,590.00006,350.00003
2.8,6860.0005,6380.0005,1170.0001,920.00006,400.00003
2.9,7250.0005,6480.0005,1340.0001,1080.0001,390.00003
3.0,8360.001,7890.0005,1730.0001,1100.0001,430.00003
3.1,9330.001,9990.001,2130.0002,1130.0001,390.00003
3.2,8150.0005,7450.0005,1430.0001,1150.0001,350.00003
