TIME,band1,band2,band3,band4,band5
0.0,8530.001,8310.001,2170.0002,1190.0001,370.00003
0.0999999940395355,7020.0005,6420.0005,1110.0001,880.00006,330.00003
0.199999988079071,7890.0005,8540.001,1930.0001,1150.0001,330.00003
0.3000000119209289,7260.0005,7520.0005,1750.0001,1160.0001,350.00003
0.4000000059604645,6790.0005,6530.0005,1270.0001,1070.0001,310.00003
0.5,5930.0005,5290.0005,1130.0001,790.00006,250.00002
0.5999999940395355,5580.0005,4420.0005,1050.0001,740.00006,260.00003
0.699999988079071,6580.0005,5900.0005,1310.0001,850.00006,300.00003
0.800000011920929,6180.0005,5920.0005,1200.0001,960.00006,250.00002
0.9000000059604645,6150.0005,5620.0005,1330.0001,670.00006,160.00002
1.0,6850.0005,6220.0005,1490.0001,920.00006,300.00003
1.0999999940395355,6060.0005,5240.0005,950.00006,610.00006,280.00003
1.199999988079071,6570.0005,5350.0005,1130.0001,740.00006,280.00003
1.300000011920929,5270.0005,4400.0005,770.00006,600.00006,190.00002
1.4000000059604645,5380.0005,4940.0005,1080.0001,630.00006,230.00002
1.5,5690.0005,5120.0005,1050.0001,780.00006,330.00003
1.5999999940395355,5510.0005,4730.0005,890.00006,680.00006,220.00002
1.699999988079071,5930.0005,4840.0005,970.00006,610.00006,180.00002
1.800000011920929,5640.0005,4340.0005,1040.0001,600.00006,280.00003
1.9000000059604645,6570.0005,5660.0005,1150.0001,640.00006,190.00002
2.0,6560.0005,6920.0005,1130.0001,830.00006,330.00003
2.0999999940395355,8180.0005,7760.0005,1730.0001,1040.0001,340.00003
2.199999988079071,7920.0005,7140.0005,1330.0001,910.00006,330.00003
2.300000011920929,7830.0005,8240.001,1750.0001,1150.0001,320.00003
2.4000000059604645,7150.0005,5700.0005,1310.0001,820.00006,260.00003
2.5,6780.0005,6140.0005,990.00006,690.00006,220.00002
2.5999999940395355,7670.0005,6310.0005,1100.0001,770.00006,150.00002
2.699999988079071,8450.001,7360.0005,1430.0001,800.00006,350.00003
2.800000011920929,7670.0005,6940.0005,1370.0001,760.00006,140.00002
2.9000000059604645,6920.0005,5510.0005,970.00006,690.00006,140.00002
3.0,8310.001,6980.0005,1310.0001,720.00006,240.00002
3.0999999940395355,9420.001,8420.001,1600.0001,860.00006,380.00003
3.199999988079071,11260.001,10450.001,2370.0002,1550.0001,580.00006
3.300000011920929,12220.001,12450.001,2810.0002,2180.0002,700.00006
3.4000000059604645,8350.001,7810.0005,1860.0001,850.00006,410.00003
3.5,8690.001,7680.0005,1720.0001,1140.0001,430.00003
3.5999999940395355,8700.001,9130.001,1970.0001,1310.0001,480.00003
3.699999988079071,9430.001,8930.001,1810.0001,1290.0001,410.00003
3.800000011920929,9440.001,10660.001,2530.0002,1610.0001,640.00006
3.900000005960465,8400.001,8840.001,1980.0001,1390.0001,410.00003
4.0,7380.0005,8190.0005,1900.0001,1220.0001,500.00003
4.099999994039536,5800.0005,5920.0005,1350.0001,1120.0001,410.00003
4.199999988079071,4630.0005,4270.0005,920.00006,670.00006,230.00002
4.300000011920929,4250.0005,3540.0002,870.00006,400.00003,220.00002
4.4000000059604645,5830.0005,5660.0005,1250.0001,870.00006,190.00002
4.5,6020.0005,6050.0005,1400.0001,920.00006,270.00003
4.599999994039536,5860.0005,5450.0005,1110.0001,650.00006,260.00003
4.699999988079071,5680.0005,5880.0005,1190.0001,860.00006,230.00002
4.800000011920929,4910.0005,5110.0005,1160.0001,610.00006,360.00003
4.9000000059604645,4990.0005,4610.0005,980.00006,610.00006,300.00003
5.0,4870.0005,4510.0005,790.00006,690.00006,230.00002
5.099999994039536,4900.0005,4570.0005,970.00006,610.00006,270.00003
5.199999988079071,4540.0005,4340.0005,1070.0001,520.00006,190.00002
5.300000011920929,5860.0005,5320.0005,1390.0001,850.00006,220.00002
5.4000000059604645,4570.0005,4840.0005,1120.0001,740.00006,210.00002
5.5,6530.0005,7090.0005,1550.0001,830.00006,490.00003
5.599999994039536,6670.0005,6200.0005,1370.0001,880.00006,260.00003
5.699999988079071,6270.0005,6300.0005,1440.0001,900.00006,330.00003
5.800000011920929,7120.0005,8020.0005,1700.0001,1110.0001,430.00003
5.9000000059604645,7210.0005,7380.0005,1370.0001,1190.0001,440.00003
6.0,6530.0005,6500.0005,1600.0001,840.00006,370.00003
6.099999994039536,6700.0005,6620.0005,1620.0001,1000.00006,370.00003
6.199999988079071,7340.0005,7740.0005,2030.0001,1130.0001,370.00003
6.300000011920929,9260.001,10030.001,2450.0002,1380.0001,530.00006
6.4000000059604645,10940.001,12660.001,2910.0002,2090.0002,690.00006
6.5,10580.001,10470.001,2550.0002,1420.0001,580.00006
6.599999994039536,9420.001,9690.001,2090.0002,1710.0001,530.00006
6.699999988079071,7360.0005,8240.001,1720.0001,1190.0001,410.00003
6.800000011920929,7640.0005,7830.0005,1900.0001,900.00006,380.00003
6.9000000059604645,7260.0005,7930.0005,1880.0001,1080.0001,360.00003
7.0,7370.0005,6960.0005,1440.0001,840.00006,340.00003
7.099999994039536,7430.0005,7520.0005,1560.0001,1010.00006,390.00003
7.199999988079071,9550.001,11260.001,2390.0002,1690.0001,500.00003
7.300000011920929,10050.001,10390.001,2230.0002,1720.0001,580.00006
7.400000005960464,8340.001,8360.001,1920.0001,1150.0001,250.00002
7.5,7820.0005,7940.0005,1500.0001,1060.0001,380.00003
7.599999994039535,7680.0005,7380.0005,1630.0001,910.00006,300.00003
7.699999988079071,7530.0005,7460.0005,1380.0001,990.00006,430.00003
7.800000011920929,7650.0005,7990.0005,1950.0001,1160.0001,340.00003
7.900000005960464,8480.001,8200.001,1910.0001,1040.0001,380.00003
8.0,8850.001,8800.001,1800.0001,1470.0001,460.00003
8.099999994039536,8170.0005,8310.001,1880.0001,1180.0001,380.00003
8.199999988079071,6820.0005,6030.0005,1280.0001,1030.0001,260.00003
8.300000011920929,6250.0005,6590.0005,1620.0001,810.00006,390.00003
8.400000005960464,4900.0005,4100.0005,850.00006,680.00006,220.00002
8.5,5970.0005,6090.0005,1050.0001,770.00006,320.00003
8.599999994039536,6510.0005,6420.0005,1400.0001,970.00006,370.00003
8.699999988079071,6950.0005,8000.0005,1780.0001,1230.0001,410.00003
8.800000011920929,5880.0005,5560.0005,1210.0001,800.00006,340.00003
8.900000005960464,4430.0005,4050.0002,780.00006,600.00006,240.00002
9.0,4950.0005,4240.0005,900.00006,670.00006,180.00002
9.099999994039536,4900.0005,4490.0005,1010.00006,660.00006,340.00003
9.199999988079073,5170.0005,4780.0005,980.00006,840.00006,220.00002
9.300000011920927,5700.0005,5500.0005,1150.0001,840.00006,270.00003
9.400000005960464,5530.0005,4730.0005,1010.00006,700.00006,220.00002
9.5,5220.0005,4340.0005,800.00006,660.00006,210.00002
9.599999994039536,5290.0005,5190.0005,1040.0001,740.00006,300.00003
9.699999988079073,5180.0005,4880.0005,860.00006,620.00006,270.00003
9.800000011920927,6180.0005,5050.0005,910.00006,730.00006,280.00003
9.900000005960464,6340.0005,6630.0005,1190.0001,760.00006,410.00003
10.0,6330.0005,6260.0005,1500.0001,900.00006,360.00003
10.099999994039536,5760.0005,5700.0005,1240.0001,660.00006,240.00002
10.199999988079073,7030.0005,6330.0005,1370.0001,850.00006,410.00003
10.300000011920927,6250.0005,5150.0005,1140.0001,810.00006,210.00002
10.400000005960464,7120.0005,6810.0005,1310.0001,990.00006,360.00003
10.5,7860.0005,7920.0005,1890.0001,1230.0001,540.00006
10.599999994039536,8190.0005,7780.0005,1740.0001,1210.0001,380.00003
10.699999988079073,8140.0005,7770.0005,1780.0001,1290.0001,370.00003
10.800000011920927,8280.001,7250.0005,1350.0001,1060.0001,270.00003
10.900000005960464,7050.0005,6710.0005,1470.0001,940.00006,350.00003
11.0,9050.001,8930.001,2000.0001,1500.0001,490.00003
11.099999994039536,8740.001,8550.001,1820.0001,1120.0001,380.00003
11.199999988079073,7750.0005,8770.001,1880.0001,1310.0001,440.00003
11.300000011920927,6760.0005,7350.0005,1800.0001,1390.0001,360.00003
11.400000005960464,5300.0005,5230.0005,1160.0001,900.00006,240.00002
11.5,4820.0005,5410.0005,1010.00006,840.00006,230.00002
11.599999994039536,6230.0005,6340.0005,1390.0001,690.00006,340.00003
11.699999988079073,6750.0005,7400.0005,1600.0001,1000.00006,400.00003
11.800000011920927,6010.0005,6520.0005,1280.0001,980.00006,310.00003
11.900000005960464,6160.0005,6210.0005,1650.0001,960.00006,290.00003
12.0,5300.0005,5270.0005,1110.0001,790.00006,350.00003
12.099999994039536,4340.0005,3730.0002,770.00006,670.00006,200.00002
12.199999988079073,4090.0002,4140.0005,730.00006,510.00003,140.00002
12.300000011920927,3930.0002,3470.0002,790.00006,590.00006,160.00002
12.400000005960464,4560.0005,4770.0005,1090.0001,600.00006,340.00003
12.5,6310.0005,7370.0005,1800.0001,990.00006,320.00003
12.599999994039536,5770.0005,5820.0005,1100.0001,900.00006,250.00002
12.699999988079073,6220.0005,7010.0005,1480.0001,1130.0001,360.00003
